relative_time,DecibelSource,AccX,AccY,AccZ
5224,59.65849590981988,,,
5254,,,-9.355342864990234,
5255,,6.977900981903076,,-0.09457096457481384
5304,52.736463249971735,,,
5320,,,-9.739612579345703,
5321,,-1.5909470319747925,,1.8399440050125122
5384,46.60812059422619,,,
5387,,2.4193408489227295,-8.678980827331543,
5388,,,,0.8367735147476196
5454,,,-9.002198219299316,
5455,,0.6236895322799683,,1.4401123523712158
5464,42.8593744661114,,,
5521,,1.5478514432907104,-10.92953109741211,1.3706804513931274
5544,46.834176331243455,,,
5587,,2.876633405685425,-12.660538673400879,
5588,,,,-0.07182604819536209
5624,66.85399086046276,,,
5654,,,-11.951854705810547,
5655,,6.8821330070495605,,-2.1799206733703613
5704,45.4585309009176,,,
5721,,2.074575662612915,-11.487380027770996,-0.14844051003456116
5784,44.339149485215344,,,
5787,,,-15.106215476989746,
5788,,-3.3470940589904785,,4.780023574829102
5854,,2.9520506858825684,-10.234015464782715,
5855,,,,-0.8930372595787048
5865,38.86858629338141,,,
5921,,-1.278503656387329,-6.783970355987549,2.27209734916687
5964,38.96074186842898,,,
5987,,-2.7329812049865723,-5.3115363121032715,
5988,,,,1.8698714971542358
6044,38.85806896555286,,,
6054,,-1.136048674583435,-3.308786630630493,0.3878606855869293
6121,,5.585672378540039,-14.077905654907227,-10.897209167480469
6124,38.97014490982257,,,
6187,,,-11.349713325500488,
6188,,1.9153614044189453,,-5.240907669067383
6204,38.26580986755118,,,
6254,,-8.05050277709961,-13.634978294372559,-0.8068459630012512
6284,39.7665667479552,,,
6321,,-3.733757495880127,-4.313154220581055,7.343016624450684
6364,40.142674370512296,,,
6387,,,-11.366472244262695,
6388,,2.9951462745666504,,6.159083843231201
6444,36.66109681781414,,,
6454,,4.441244125366211,-8.943540573120117,-0.7613561153411865
6521,,-0.13766659796237946,-8.825027465820312,1.01753568649292
6524,35.91517879037013,,,
6587,,,-9.336189270019531,
6588,,0.7003039717674255,,-1.5083470344543457
6604,36.92282900837476,,,
6654,,,-9.399636268615723,
6655,,2.078166961669922,,3.360262155532837
6684,38.35950553096568,,,
6721,,2.3786394596099854,-11.322179794311523,0.7170634269714355
6764,36.468221695819366,,,
6787,,,-12.11705493927002,
6788,,3.2740707397460938,,-1.357512354850769
6844,41.48192743960073,,,
6854,,6.562506675720215,-11.531672477722168,-3.064578056335449
6921,,0.7362170219421387,-11.75672721862793,0.9624691009521484
6924,37.09179637659213,,,
6987,,,-13.597868919372559,
6988,,-3.399766445159912,,2.9316999912261963
7004,36.65212700901276,,,
7054,,4.171896457672119,-9.947908401489258,-0.5758054852485657
7084,38.35993052121974,,,
7121,,-2.434903144836426,-5.406107425689697,3.420117139816284
7164,40.09168839015739,,,
7187,,,-4.8470611572265625,
7188,,-3.162740468978882,,1.380257248878479
7254,,,-5.889736175537109,
7255,,0.4129997789859772,,-0.8595184087753296
7265,36.83695699495007,,,
7321,,4.836287498474121,-15.051149368286133,-10.81820011138916
7344,37.54369263652775,,,
7388,,-1.1492167711257935,-6.212953567504883,-2.698265314102173
7424,39.714826918140176,,,
7454,,,-16.660053253173828,
7455,,-0.33758243918418884,,-4.432864665985107
7504,38.33318752768066,,,
7521,,-6.48708963394165,-1.6112977266311646,5.421669960021973
7584,41.118603752114815,,,
7587,,,-14.88714599609375,
7588,,5.331887245178223,,0.5027823448181152
7654,,1.501164436340332,-6.719326972961426,0.7338228225708008
7664,36.148299464257036,,,
7721,,-0.569819986820221,-10.17416000366211,-0.5961562395095825
