relative_time,DecibelSource,AccX,AccY,AccZ
7132,,-0.9277531504631042,-7.449558734893799,
7143,44.44662671546139,,,
7206,,-4.511873245239258,-5.021838188171387,2.4803929328918457
7223,52.590696467465385,,,
7275,,0.0347159244120121,-11.103110313415527,-2.3127987384796143
7322,48.72263354657523,,,
7339,,-3.004723072052002,-6.775590896606445,2.3080103397369385
7402,34.27876178279758,,,
7408,,-0.629675030708313,-10.429142951965332,-1.4257471561431885
7467,,-1.6148890256881714,-8.935160636901855,0.9241618514060974
7482,39.67093707711914,,,
7529,,,,0.8403648138046265
7530,,-1.0606313943862915,-9.094375610351562,
7562,36.12468862464275,,,
7596,,-2.889801502227783,-9.05367374420166,1.1563993692398071
7642,36.596667234696454,,,
7666,,-0.05027823522686958,-10.111910820007324,1.0067617893218994
7722,35.14304332088328,,,
7730,,0.6500257849693298,-12.327744483947754,-0.5542576909065247
7796,,-1.964442491531372,-7.947552680969238,0.4106055796146393
7802,36.55117657470425,,,
7863,,-5.87896203994751,-11.775880813598633,-0.2861070930957794
7882,40.28629465422368,,,
7930,,-2.1164743900299072,-10.146626472473145,-2.9735984802246094
7962,40.24537593857716,,,
7996,,-1.946485996246338,-7.548917770385742,-0.456095427274704
8043,40.57370363714081,,,
8063,,,,-0.2932897210121155
8064,,-3.022679567337036,-6.619967937469482,
8123,37.58332817624077,,,
8136,,,,-0.9995791912078857
8137,,-2.896984100341797,-5.34744930267334,
8197,,,,-4.8267107009887695
8198,,1.3024457693099976,-9.947908401489258,
8203,33.91734624342049,,,
8266,,5.098452568054199,-13.005303382873535,-5.4013190269470215
8283,34.7618250084386,,,
8331,,-0.7649474143981934,-7.481880187988281,-1.843535304069519
8363,45.53985431911896,,,
8406,,,,-1.1875240802764893
8407,,-3.404554843902588,-10.324995040893555,
8443,39.468832125830374,,,
8480,,-5.552153587341309,-4.6471452713012695,4.001908302307129
8523,45.30448709436939,,,
8530,,,-14.532804489135742,-1.9512743949890137
8544,,-3.977966070175171,,
8598,,,,2.387019157409668
8599,,-2.315192937850952,-6.265625953674316,
8622,44.48122800240902,,,
8678,,-2.655169725418091,-10.046070098876953,0.828393816947937
8703,33.43731115196351,,,
8739,,,,0.19393034279346466
8740,,-1.2006921768188477,-8.741230010986328,
8783,32.88231691524772,,,
8811,,-0.20350714027881622,-9.070432662963867,0.7469909191131592
8863,33.81669062959608,,,
8879,,-2.874239206314087,-8.87171459197998,0.7122750282287598
8940,,0.020350715145468712,-9.751583099365234,1.53707754611969
8943,32.54223741337731,,,
9002,,,,-0.5363011956214905
9004,,0.038307227194309235,-11.808202743530273,
9023,35.7168492083573,,,
9065,,-2.011129379272461,-9.66539192199707,-0.5279214978218079
9103,39.68805534514974,,,
9137,,-8.325836181640625,-13.120224952697754,2.3989901542663574
9183,37.93751380659128,,,
9197,,,,-1.459265947341919
9198,,-1.9189527034759521,-10.042478561401367,
9263,44.96441432307669,,,
9268,,-2.2242133617401123,-8.221688270568848,-0.690727174282074
9343,42.08891198929885,,,
9345,,-2.292448043823242,-5.861005783081055,-0.42377370595932007
9412,,-3.045424461364746,-4.914099216461182,-0.31124621629714966
9423,32.64601364695701,,,
9471,,,-9.23682975769043,-4.930858612060547
9472,,0.090979665517807,,
9503,35.46362652402006,,,
9533,,4.8494553565979,-13.978547096252441,-4.912901878356934
9583,36.69517928958225,,,
9599,,-8.795100212097168,-15.230713844299316,-3.7912182807922363
9663,43.470871817043246,,,
9680,,-3.581725835800171,-9.062053680419922,3.75291109085083
9742,40.95371060048997,,,
9746,,-5.143942356109619,-5.461174011230469,1.902193307876587
9796,,2.9101521968841553,-11.35809326171875,-1.6364368200302124
9842,38.68169099900805,,,
9863,,,,2.006340980529785
9864,,-4.151545524597168,-5.237316131591797,
9923,36.73259154401779,,,
9938,,-1.1348515748977661,-10.961852073669434,-1.0187327861785889
9997,,,-8.62391471862793,0.6931213736534119
9998,,-2.2038626670837402,,
10002,33.8232887059231,,,
10082,37.590126002839604,,,
