relative_time,AccX,AccY,AccZ
14587,,-13.5655469894,
14588,5.2097830772,,0.011971008
14644,,,
14654,0.3220201433,-7.4735007286,-0.0047884034
14721,-0.4896142483,-10.3285865784,-1.5131354332
14724,,,
14787,,-9.051279068,
14788,0.6883329749,,1.9165585041
14804,,,
14854,,-10.6230726242,
14855,0.5327098966,,-0.9109937549
14884,,,
14921,2.2996306419,-11.7184200287,-0.4548983276
14984,,,
14987,4.1407718658,-11.798625946,
14988,,,-1.6496049166
15054,,-11.650185585,
15055,2.9436709881,,-2.4361002445
15064,,,
15121,-4.2269630432,-16.4445743561,5.7592520714
15144,,,
15187,,-12.4929447174,
15188,-4.8781857491,,0.1628057212
15224,,,
15254,,-7.9619178772,
15255,1.74776721,,0.6715735793
15304,,,
15321,-2.8909986019,-5.2241482735,4.7165775299
15384,,,
15388,-4.3586440086,-2.5510218143,2.261323452
15454,,-14.8236999512,
15455,1.5813702345,,-11.842918396
15464,,,
15521,-0.0490811355,-11.6705360413,-4.5848960876
15544,,,
15588,-7.0365586281,-16.0088291168,-3.1364042759
15624,,,
15654,,-1.2246341705,
15655,-4.6579194069,,5.6574988365
15704,,,
15721,5.2241482735,-14.8452472687,2.9352912903
15784,,,
15787,,-8.579621315,
15788,3.1220390797,,-2.5474305153
15854,,-9.801861763,
15855,-0.3052607179,,0.3016694188
15864,,,
15921,1.2952631712,-8.2528133392,-0.0035913025
15945,,,
15987,-0.3519476354,-9.9431200027,
15988,,,1.4820108414
16024,,,
16054,1.5801731348,-10.4650554657,0.6153098345
16104,,,
16121,2.8670566082,-12.3744316101,-0.7541735172
16187,,-11.7543334961,
16188,4.7596731186,,-4.7058033943
16204,,,
16254,0.5279214978,-11.3449249268,0.2130839527
16284,,,
16320,-5.8945245743,-15.4342212677,
16321,,,3.8965632915
16364,,,
16387,5.1463365555,-9.9335432053,-1.0175356865
16444,,,
16454,-0.9840168953,-5.6299653053,3.5877113342
16521,-3.1471781731,-4.5346179008,2.2481553555
16524,,,
16587,,-3.8678328991,
16588,-2.093729496,,0.8271966577
16604,,,
16654,7.3178772926,-19.3571205139,-15.1385374069
16684,,,
16721,-3.5865142345,-3.7457284927,
16722,,,-1.6747441292
16764,,,
16787,,-20.7050571442,
16788,-3.786429882,,-2.5043349266
16844,,,
16854,-3.8762125969,-1.6304513216,9.1985225677
16921,5.770026207,-15.1469173431,4.2281603813
16924,,,
16988,0.8678981066,-7.1107792854,0.8870517015
17004,,,
17054,-2.4756045341,-10.2459859848,
17055,,,-0.4213795066
17084,,,
17121,3.5314474106,-10.0257196426,1.9955670834
17164,,,
17187,-0.6476315856,-10.0317049026,
17188,,,0.0766144544
17244,,,
17254,1.2330138683,-11.8213710785,-1.303642869
17321,4.1299977303,-12.1062812805,-2.0721814632
17324,,,
17387,,-11.3748521805,
17388,4.0785226822,,-3.2261867523
17404,,,
17454,-3.8151605129,-17.2993049622,
17455,,,5.6108117104
17504,,,
17521,-5.3893480301,-13.0531873703,-0.0825999603
17584,,,
17587,,-8.2216882706,
17588,1.8052281141,,0.5398924947
17654,-2.3726539612,-5.2049946785,4.0988731384
17664,,,
17721,,-3.1806969643,
17722,-3.2369606495,,2.5007436275
17744,,,
17787,,-14.2083902359,
17788,2.2936451435,,-9.9000244141
17824,,,
17854,,-12.1733188629,
17855,5.4743423462,,-9.5540618896
17904,,,
17921,-2.2254104614,-4.0629601479,0.4836287498
17984,,,
17987,,-22.3522663116,
17988,-2.1080946922,,-12.7275762558
18054,,-2.7664999962,
18055,-1.2282254696,,6.4236431122
18064,,,
18121,5.3354783058,-14.6680765152,0.4189853072
18144,,,
18187,,-7.5836338997,
18188,-1.8267759085,,1.3491326571
18224,,,
18254,,-10.0520563126,
18255,-1.549048543,,0.8176198602
18304,,,
18321,2.5151088238,-9.1733837128,1.6244658232
18384,,,
18387,,-11.4191446304,
18388,-0.0131681096,,-0.4118026793
18454,1.5610195398,-12.0919160843,-0.1999158412
18464,,,
18521,3.5936968327,-12.4187240601,-2.0278887749
18544,,,
18587,,-10.6374378204,
18588,4.4927196503,,-2.8838160038
18624,,,
18654,-3.3267433643,-16.9365825653,5.5329999924
18704,,,
18721,-5.3294930458,-12.9945297241,1.0929530859
18787,,-8.3545665741,
18788,1.8124107122,,0.5889736414
18804,,,
18854,,-4.7991771698,
18855,-2.5809495449,,3.9097313881
18884,,,
18921,-2.9735984802,-2.9257144928,1.7310078144
18964,,,
18987,,-11.5041389465,
18988,0.2525882721,,-9.2272529602
19044,,,
19054,5.2516813278,-13.5044946671,-8.59278965
19121,-6.8905124664,-9.8509426117,-0.0945709646
19124,,,
19187,,-10.6122989655,
19188,-1.2378022671,,2.8383262157
19204,,,
19254,,-8.4706859589,
19255,2.7844564915,,7.4268136024
19284,,,
19321,5.368997097,-10.9786119461,-2.2553379536
19364,,,
19388,-3.2441432476,-7.9918451309,0.211886853
19444,,,
19454,0.011971008,-8.9363574982,0.0263362192
19521,1.9907786846,-9.5408935547,1.0678139925
19524,,,
19588,1.5059528351,-9.9119949341,-0.7230489254
19604,,,
19654,0.316034615,-11.5544176102,
19655,,,0.211886853
19684,,,
19721,3.9839515686,-12.5587854385,-2.0925323963
19764,,,
19787,,-11.0815629959,
19788,3.2405519485,,-2.9927520752
19844,,,
19854,-4.6878471375,-16.1034011841,4.8578352928
19921,-0.7924807668,-11.2659158707,1.9189527035
19924,,,
19988,1.3323732615,-7.5728597641,0.8595184088
20004,,,
20054,-2.4672248363,-4.8626236916,
20055,,,3.5206735134
20104,,,
20121,-2.8443117142,-3.4189200401,0.7182605267
20184,,,
20188,0.8535329103,-14.0779056549,-10.7667245865
20254,1.8890250921,-11.4490728378,-6.5086374283
20264,,,
20321,-7.1419038773,-9.3481607437,1.276109457
20344,,,
20387,,-14.274230957,
20388,-0.3220201433,,-1.3359645605
20424,,,
20454,4.3718123436,-7.3968863487,8.7567930222
20504,,,
20521,5.6610898972,-12.6701154709,-2.1320366859
20584,,,
20587,,-7.2819643021,
20588,-2.6455929279,,-0.2238578647
20654,2.3487119675,-10.0209312439,-1.8602946997
20664,,,
20721,1.766920805,-8.6861639023,0.5374982953
20744,,,
20787,,-10.8409452438,
20788,-0.9421183467,,0.0682347491
20824,,,
20854,3.3195607662,-11.3126029968,
20855,,,-0.1687912196
20904,,,
20921,4.8219223022,-12.6761007309,-2.3068132401
20984,,,
20987,,-11.2335939407,
20988,3.6020765305,,-1.7118542194
21054,,-15.6748380661,
21055,-5.1942205429,,4.9476180077
21064,,,
21121,-5.1020436287,-12.6772975922,0.5039794445
21144,,,
21188,2.3056161404,-7.2807674408,0.8702923059
21224,,,
21254,,-4.0497922897,
21255,-3.0550012589,,3.5745432377
21320,,-1.9668366909,
21321,-2.9759926796,,1.0737994909
21323,,,
21387,3.9049429893,-19.6396369934,-15.2750072479
21403,,,
21454,,-5.9902925491,
21455,-3.6954503059,,-2.8155810833
21484,,,
21521,-7.9367785454,-11.8225679398,1.2521674633
21564,,,
21587,,-5.9591679573,
21588,-2.0039467812,,4.7848119736
21644,,,
21654,2.652775526,-12.2690868378,6.7312979698
21721,5.2073888779,-9.925163269,-3.1914708614
21724,,,
21787,,-8.1546506882,
21788,-3.0059201717,,1.705868721
21804,,,
